county,county_median
BATH AND NORTH EAST SOMERSET,398000.0
BEDFORD,345796.0
BLACKBURN WITH DARWEN,167500.0
BLACKPOOL,137500.0
BLAENAU GWENT,140250.0
"BOURNEMOUTH, CHRISTCHURCH AND POOLE",338000.0
BRACKNELL FOREST,420000.0
BRIDGEND,215000.0
BRIGHTON AND HOVE,415000.0
BUCKINGHAMSHIRE,460000.0
CAERPHILLY,192500.0
CAMBRIDGESHIRE,350000.0
CARDIFF,270000.0
CARMARTHENSHIRE,197000.0
CENTRAL BEDFORDSHIRE,365000.0
CEREDIGION,225000.0
CHESHIRE EAST,299999.5
CHESHIRE WEST AND CHESTER,260000.0
CITY OF BRISTOL,350000.0
CITY OF DERBY,220000.0
CITY OF KINGSTON UPON HULL,141544.0
CITY OF NOTTINGHAM,200000.0
CITY OF PETERBOROUGH,241500.0
CITY OF PLYMOUTH,227500.0
CONWY,216975.0
CORNWALL,286000.0
COUNTY DURHAM,145000.0
CUMBERLAND,175000.0
DARLINGTON,177250.0
DENBIGHSHIRE,199950.0
DERBYSHIRE,235000.0
DEVON,308748.0
DORSET,345000.0
EAST RIDING OF YORKSHIRE,225000.0
EAST SUSSEX,340000.0
ESSEX,375000.0
FLINTSHIRE,215500.0
GLOUCESTERSHIRE,315000.0
GREATER LONDON,527500.0
GREATER MANCHESTER,240500.0
GWYNEDD,194999.0
HALTON,195500.0
HAMPSHIRE,370000.0
HARTLEPOOL,155000.0
HEREFORDSHIRE,290000.0
HERTFORDSHIRE,455000.0
ISLE OF ANGLESEY,224000.0
ISLE OF WIGHT,260000.0
ISLES OF SCILLY,555000.0
KENT,355000.0
LANCASHIRE,200000.0
LEICESTER,242000.0
LEICESTERSHIRE,280000.0
LINCOLNSHIRE,230000.0
LUTON,315000.0
MEDWAY,312500.0
MERSEYSIDE,205000.0
MERTHYR TYDFIL,145000.0
MIDDLESBROUGH,155000.0
MILTON KEYNES,345000.0
MONMOUTHSHIRE,313000.0
NEATH PORT TALBOT,165000.0
NEWPORT,236000.0
NORFOLK,273000.0
NORTH EAST LINCOLNSHIRE,165000.0
NORTH LINCOLNSHIRE,177500.0
NORTH NORTHAMPTONSHIRE,260000.0
NORTH SOMERSET,315000.0
NORTH YORKSHIRE,270000.0
NORTHUMBERLAND,204995.0
NOTTINGHAMSHIRE,240000.0
OXFORDSHIRE,407500.0
PEMBROKESHIRE,224000.0
PORTSMOUTH,258000.0
POWYS,250000.0
READING,350000.0
REDCAR AND CLEVELAND,164972.5
RHONDDA CYNON TAFF,160000.0
RUTLAND,330000.0
SHROPSHIRE,275000.0
SLOUGH,395000.0
SOMERSET,285000.0
SOUTH GLOUCESTERSHIRE,335000.0
SOUTH YORKSHIRE,195000.0
SOUTHAMPTON,260000.0
SOUTHEND-ON-SEA,345000.0
STAFFORDSHIRE,250000.0
STOCKTON-ON-TEES,175000.0
STOKE-ON-TRENT,160000.0
SUFFOLK,290000.0
SURREY,505000.0
SWANSEA,208000.0
SWINDON,280000.0
THE VALE OF GLAMORGAN,285000.0
THURROCK,355000.0
TORBAY,250000.0
TORFAEN,200000.0
TYNE AND WEAR,180000.0
WARRINGTON,255000.0
WARWICKSHIRE,310000.0
WEST BERKSHIRE,401250.0
WEST MIDLANDS,237500.0
WEST NORTHAMPTONSHIRE,299500.0
WEST SUSSEX,385000.0
WEST YORKSHIRE,215000.0
WESTMORLAND AND FURNESS,235000.0
WILTSHIRE,320000.0
WINDSOR AND MAIDENHEAD,545000.0
WOKINGHAM,490000.0
WORCESTERSHIRE,290000.0
WREKIN,228000.0
WREXHAM,196000.0
YORK,300000.0
